127.0.0.1 - - [14/Sep/2020:17:56:26 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Sep/2020:18:03:33 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:18:04:40 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:18:27:29 +0200] "POST /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:18:30:18 +0200] "GET /orionBE/CustomerController HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [14/Sep/2020:18:31:12 +0200] "GET /orionBE/CustomerController HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [14/Sep/2020:18:31:39 +0200] "GET /orionBE/CustomerController HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [14/Sep/2020:18:32:01 +0200] "POST /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:18:32:41 +0200] "POST /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:18:33:02 +0200] "GET /orionBE/CustomerController HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [14/Sep/2020:18:33:36 +0200] "GET /orionBE/CustomerController HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [14/Sep/2020:18:33:52 +0200] "GET /orionBE/CustomerController HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [14/Sep/2020:18:34:30 +0200] "GET /orionBE/CustomerController HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [14/Sep/2020:18:34:53 +0200] "GET /orionBE/CustomerController HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [14/Sep/2020:18:46:21 +0200] "GET /orionBE/CustomerController HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [14/Sep/2020:18:51:52 +0200] "GET /orionBE/CustomerController HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [14/Sep/2020:18:52:03 +0200] "POST /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:18:52:28 +0200] "OPTIONS /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:18:54:00 +0200] "POST /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:18:57:24 +0200] "POST /orionBE/CustomerController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:18:58:47 +0200] "POST /orionBE/CustomerController HTTP/1.1" 200 -
